nombre,apellido,fecha_nacimiento,genero,telefono,email,id_aseguradora,nss_seguro
Paciente,ID_25312,1958-01-01,M,555-987-6543,paciente_25312@mail.com,1,NSS-25312
Paciente,ID_59342,1949-01-01,F,555-987-6543,paciente_59342@mail.com,1,NSS-59342
Paciente,ID_50777,2001-01-01,F,555-987-6543,paciente_50777@mail.com,2,NSS-50777
Paciente,ID_46918,1945-01-01,F,555-987-6543,paciente_46918@mail.com,3,NSS-46918
Paciente,ID_34377,2007-01-01,M,555-987-6543,paciente_34377@mail.com,2,NSS-34377
Paciente,ID_74489,1959-01-01,M,555-987-6543,paciente_74489@mail.com,2,NSS-74489
Paciente,ID_49526,1967-01-01,F,555-987-6543,paciente_49526@mail.com,2,NSS-49526
Paciente,ID_50129,1956-01-01,M,555-987-6543,paciente_50129@mail.com,2,NSS-50129
Paciente,ID_10577,1981-01-01,M,555-987-6543,paciente_10577@mail.com,4,NSS-10577
Paciente,ID_90749,1976-01-01,M,555-987-6543,paciente_90749@mail.com,2,NSS-90749
Paciente,ID_125898,1954-01-01,F,555-987-6543,paciente_125898@mail.com,3,NSS-125898
Paciente,ID_78266,1946-01-01,F,555-987-6543,paciente_78266@mail.com,3,NSS-78266
Paciente,ID_41311,1978-01-01,M,555-987-6543,paciente_41311@mail.com,2,NSS-41311
Paciente,ID_103766,1961-01-01,M,555-987-6543,paciente_103766@mail.com,3,NSS-103766
Paciente,ID_98174,1945-01-01,M,555-987-6543,paciente_98174@mail.com,3,NSS-98174
Paciente,ID_124688,1948-01-01,F,555-987-6543,paciente_124688@mail.com,2,NSS-124688
Paciente,ID_71252,1996-01-01,M,555-987-6543,paciente_71252@mail.com,2,NSS-71252
Paciente,ID_112115,1980-01-01,M,555-987-6543,paciente_112115@mail.com,2,NSS-112115
Paciente,ID_114220,1961-01-01,M,555-987-6543,paciente_114220@mail.com,2,NSS-114220
Paciente,ID_102946,1987-01-01,M,555-987-6543,paciente_102946@mail.com,3,NSS-102946
Paciente,ID_88295,1947-01-01,F,555-987-6543,paciente_88295@mail.com,3,NSS-88295
